LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01B,006-006,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,006-006,REPUBLICAN,267,20,7,1,640
Allegany,06,01B,006-006,UNAFFILIATED,0,0,0,3,0
Allegany,06,01B,007-001,DEMOCRAT,197,10,9,2,538
Allegany,06,01B,007-001,GREEN,0,0,0,0,0
Allegany,06,01B,007-001,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,007-001,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,007-001,REPUBLICAN,282,13,11,2,701
Allegany,06,01B,007-001,UNAFFILIATED,0,0,0,1,0
Allegany,06,01A,007-002,DEMOCRAT,164,18,4,2,488
Allegany,06,01A,007-002,GREEN,0,0,0,0,0
Allegany,06,01A,007-002,LIBERTARIAN,0,0,0,0,0
Allegany,06,01A,007-002,OTHER PARTIES,0,0,0,0,0
Allegany,06,01A,007-002,REPUBLICAN,361,26,18,5,832
Allegany,06,01A,007-002,UNAFFILIATED,0,0,0,0,0
Allegany,06,01A,008-000,DEMOCRAT,200,6,11,1,619
Allegany,06,01A,008-000,GREEN,0,0,0,0,0
Allegany,06,01A,008-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01A,008-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01A,008-000,REPUBLICAN,484,10,10,1,1123
Allegany,06,01A,008-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01A,009-000,DEMOCRAT,55,2,3,0,180
Allegany,06,01A,009-000,GREEN,0,0,0,0,0
Allegany,06,01A,009-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01A,009-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01A,009-000,REPUBLICAN,210,6,7,3,518
Allegany,06,01A,009-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01A,010-000,DEMOCRAT,75,1,7,0,223
Allegany,06,01A,010-000,GREEN,0,0,0,0,0
Allegany,06,01A,010-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01A,010-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01A,010-000,REPUBLICAN,401,12,7,2,887
Allegany,06,01A,010-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,011-000,DEMOCRAT,146,12,17,8,358
Allegany,06,01B,011-000,GREEN,0,0,0,0,0
Allegany,06,01B,011-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,011-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,011-000,REPUBLICAN,169,7,13,2,378
Allegany,06,01B,011-000,UNAFFILIATED,0,0,0,1,0
Allegany,06,01B,012-000,DEMOCRAT,269,20,15,8,669
Allegany,06,01B,012-000,GREEN,0,0,0,0,0
Allegany,06,01B,012-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,012-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,012-000,REPUBLICAN,388,20,21,8,908
Allegany,06,01B,012-000,UNAFFILIATED,0,0,0,1,0
Allegany,06,01B,013-000,DEMOCRAT,137,5,4,2,453
Allegany,06,01B,013-000,GREEN,0,0,0,0,0
Allegany,06,01B,013-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,013-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,013-000,REPUBLICAN,315,11,11,5,768
Allegany,06,01B,013-000,UNAFFILIATED,0,0,0,2,0
Allegany,06,01B,014-000,DEMOCRAT,58,14,5,1,258
Allegany,06,01B,014-000,GREEN,0,0,0,0,0
Allegany,06,01B,014-000,LIBERTARIAN,0,0,0,1,0
Allegany,06,01B,014-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,014-000,REPUBLICAN,53,6,3,1,152
Allegany,06,01B,014-000,UNAFFILIATED,0,0,0,3,0
Allegany,06,01C,016-000,DEMOCRAT,127,11,6,1,412
Allegany,06,01C,016-000,GREEN,0,0,0,0,0
Allegany,06,01C,016-000,LIBERTARIAN,0,0,0,1,0
Allegany,06,01C,016-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,016-000,REPUBLICAN,333,21,12,3,803
Allegany,06,01C,016-000,UNAFFILIATED,0,0,0,1,0
Allegany,06,01B,018-000,DEMOCRAT,98,4,9,2,330
Allegany,06,01B,018-000,GREEN,0,0,0,0,0
Allegany,06,01B,018-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,018-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,018-000,REPUBLICAN,399,16,13,2,872
Allegany,06,01B,018-000,UNAFFILIATED,0,0,0,1,0
Allegany,06,01B,020-000,DEMOCRAT,112,17,3,1,375
Allegany,06,01B,020-000,GREEN,0,0,0,0,0
Allegany,06,01B,020-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,020-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,020-000,REPUBLICAN,337,14,4,0,718
Allegany,06,01B,020-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,021-000,DEMOCRAT,92,5,7,0,235
Allegany,06,01B,021-000,GREEN,0,0,0,0,0
Allegany,06,01B,021-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,021-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,021-000,REPUBLICAN,221,17,4,2,417
Allegany,06,01B,021-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01C,022-001,DEMOCRAT,161,28,22,7,616
Allegany,06,01C,022-001,GREEN,0,0,0,0,0
Allegany,06,01C,022-001,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,022-001,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,022-001,REPUBLICAN,198,39,12,3,604
Allegany,06,01C,022-001,UNAFFILIATED,0,0,0,3,0
Allegany,06,01B,022-002,DEMOCRAT,10,11,0,0,37
Allegany,06,01B,022-002,GREEN,0,0,0,0,0
Allegany,06,01B,022-002,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,022-002,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,022-002,REPUBLICAN,26,3,1,0,48
Allegany,06,01B,022-002,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,023-000,DEMOCRAT,255,30,14,6,739
Allegany,06,01B,023-000,GREEN,0,0,0,0,0
Allegany,06,01B,023-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,023-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,023-000,REPUBLICAN,300,25,10,4,696
Allegany,06,01B,023-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,024-000,DEMOCRAT,117,8,9,4,367
Allegany,06,01B,024-000,GREEN,0,0,0,0,0
Allegany,06,01B,024-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,024-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,024-000,REPUBLICAN,313,17,20,1,679
Allegany,06,01B,024-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,026-000,DEMOCRAT,280,28,14,100,625
Allegany,06,01B,026-000,GREEN,0,0,0,0,0
Allegany,06,01B,026-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,026-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,026-000,REPUBLICAN,321,13,13,14,721
Allegany,06,01B,026-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,029-001,DEMOCRAT,234,21,13,1,540
Allegany,06,01B,029-001,GREEN,0,0,0,0,0
Allegany,06,01B,029-001,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,029-001,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,029-001,REPUBLICAN,480,34,18,4,926
Allegany,06,01B,029-001,UNAFFILIATED,0,0,0,1,0
Allegany,06,01B,029-002,DEMOCRAT,211,15,9,3,519
Allegany,06,01B,029-002,GREEN,0,0,0,0,0
Allegany,06,01B,029-002,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,029-002,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,029-002,REPUBLICAN,402,28,11,4,804
Allegany,06,01B,029-002,UNAFFILIATED,0,0,0,2,0
Allegany,06,01B,029-003,DEMOCRAT,160,20,8,5,450
Allegany,06,01B,029-003,GREEN,0,0,0,0,0
Allegany,06,01B,029-003,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,029-003,OTHER PARTIES,0,0,0,1,0
Allegany,06,01B,029-003,REPUBLICAN,274,25,12,1,577
Allegany,06,01B,029-003,UNAFFILIATED,0,0,0,2,0
Allegany,06,01A,031-000,DEMOCRAT,92,3,2,2,297
Allegany,06,01A,031-000,GREEN,0,0,0,0,0
Allegany,06,01A,031-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01A,031-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01A,031-000,REPUBLICAN,260,6,9,0,551
Allegany,06,01A,031-000,UNAFFILIATED,0,0,0,6,0
Allegany,06,01B,034-000,DEMOCRAT,180,23,10,1,453
Allegany,06,01B,034-000,GREEN,0,0,0,0,0
Allegany,06,01B,034-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,034-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,034-000,REPUBLICAN,295,36,7,5,625
Allegany,06,01B,034-000,UNAFFILIATED,0,0,0,0,0
Allegany,,,Unable to Determine,DEMOCRAT,0,0,0,2,
Allegany,,,Unable to Determine,GREEN,0,0,0,0,
Allegany,,,Unable to Determine,LIBERTARIAN,0,0,0,0,
Allegany,,,Unable to Determine,OTHER PARTIES,0,0,0,0,
Allegany,,,Unable to Determine,REPUBLICAN,0,0,0,1,
Allegany,,,Unable to Determine,UNAFFILIATED,0,0,0,1,
Anne Arundel,03,32,001-001,DEMOCRAT,272,47,16,8,689
Anne Arundel,03,32,001-001,GREEN,0,0,0,0,0
Anne Arundel,03,32,001-001,LIBERTARIAN,0,0,0,0,0
Anne Arundel,03,32,001-001,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,001-001,REPUBLICAN,290,50,12,6,635
Anne Arundel,03,32,001-001,UNAFFILIATED,0,0,0,15,0
Anne Arundel,03,32,001-002,DEMOCRAT,227,39,8,1,589
Anne Arundel,03,32,001-002,GREEN,0,0,0,0,0
Anne Arundel,03,32,001-002,LIBERTARIAN,0,0,0,0,0
Anne Arundel,03,32,001-002,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,001-002,REPUBLICAN,278,34,8,7,616
Anne Arundel,03,32,001-002,UNAFFILIATED,0,0,0,9,0
Anne Arundel,03,32,001-003,DEMOCRAT,190,93,14,8,912
Anne Arundel,03,32,001-003,GREEN,0,0,0,0,0
Anne Arundel,03,32,001-003,LIBERTARIAN,0,0,0,1,0
Anne Arundel,03,32,001-003,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,001-003,REPUBLICAN,210,53,4,3,727
Anne Arundel,03,32,001-003,UNAFFILIATED,0,0,0,16,0
Anne Arundel,02,31A,001-004,DEMOCRAT,293,112,25,6,1147
Anne Arundel,02,31A,001-004,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-004,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,31A,001-004,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,31A,001-004,REPUBLICAN,139,27,7,4,419
Anne Arundel,02,31A,001-004,UNAFFILIATED,0,0,0,12,0
Anne Arundel,02,32,001-005,DEMOCRAT,232,76,8,6,776
Anne Arundel,02,32,001-005,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-005,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-005,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-005,REPUBLICAN,156,38,4,3,479
Anne Arundel,02,32,001-005,UNAFFILIATED,0,0,0,10,0
Anne Arundel,02,32,001-006,DEMOCRAT,337,92,10,10,1140
Anne Arundel,02,32,001-006,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-006,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-006,OTHER PARTIES,0,0,0,1,0
Anne Arundel,02,32,001-006,REPUBLICAN,147,41,3,2,518
Anne Arundel,02,32,001-006,UNAFFILIATED,0,0,0,18,0
Anne Arundel,02,32,001-007,DEMOCRAT,183,27,7,8,585
Anne Arundel,02,32,001-007,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-007,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-007,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-007,REPUBLICAN,216,24,3,3,576
Anne Arundel,02,32,001-007,UNAFFILIATED,0,0,0,8,0
Anne Arundel,03,32,001-008,DEMOCRAT,260,59,10,5,893
Anne Arundel,03,32,001-008,GREEN,0,0,0,1,0
Anne Arundel,03,32,001-008,LIBERTARIAN,0,0,0,1,0
Anne Arundel,03,32,001-008,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,001-008,REPUBLICAN,313,46,3,3,791
Anne Arundel,03,32,001-008,UNAFFILIATED,0,0,0,13,0
Anne Arundel,03,32,001-009,DEMOCRAT,205,54,10,2,720
Anne Arundel,03,32,001-009,GREEN,0,0,0,1,0
Anne Arundel,03,32,001-009,LIBERTARIAN,0,0,0,0,0
Anne Arundel,03,32,001-009,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,001-009,REPUBLICAN,266,50,9,2,731
Anne Arundel,03,32,001-009,UNAFFILIATED,0,0,0,0,0
Anne Arundel,02,32,001-010,DEMOCRAT,196,29,7,5,493
Anne Arundel,02,32,001-010,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-010,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-010,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-010,REPUBLICAN,249,25,13,2,518
Anne Arundel,02,32,001-010,UNAFFILIATED,0,0,0,5,0
Anne Arundel,02,32,001-011,DEMOCRAT,150,31,6,5,392
Anne Arundel,02,32,001-011,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-011,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-011,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-011,REPUBLICAN,206,19,0,0,490
Anne Arundel,02,32,001-011,UNAFFILIATED,0,0,0,13,0
Anne Arundel,02,31A,001-012,DEMOCRAT,366,77,10,25,1551
Anne Arundel,02,31A,001-012,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-012,LIBERTARIAN,0,0,0,1,0
Anne Arundel,02,31A,001-012,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,31A,001-012,REPUBLICAN,107,19,6,4,437
Anne Arundel,02,31A,001-012,UNAFFILIATED,0,0,0,23,0
Anne Arundel,02,31A,001-013,DEMOCRAT,130,14,2,9,584
Anne Arundel,02,31A,001-013,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-013,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,31A,001-013,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,31A,001-013,REPUBLICAN,77,6,0,2,251
Anne Arundel,02,31A,001-013,UNAFFILIATED,0,0,0,9,0
Anne Arundel,03,31A,001-014,DEMOCRAT,204,65,16,15,832
Anne Arundel,03,31A,001-014,GREEN,0,0,0,0,0
Anne Arundel,03,31A,001-014,LIBERTARIAN,0,0,0,2,0
Anne Arundel,03,31A,001-014,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,31A,001-014,REPUBLICAN,188,31,4,8,554
Anne Arundel,03,31A,001-014,UNAFFILIATED,0,0,0,18,0
Anne Arundel,02,31A,001-015,DEMOCRAT,260,39,3,12,832
Anne Arundel,02,31A,001-015,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-015,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,31A,001-015,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,31A,001-015,REPUBLICAN,213,25,4,3,502
Anne Arundel,02,31A,001-015,UNAFFILIATED,0,0,0,15,0
Anne Arundel,02,31A,001-016,DEMOCRAT,268,34,7,9,978
Anne Arundel,02,31A,001-016,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-016,LIBERTARIAN,0,0,0,1,0
Anne Arundel,02,31A,001-016,OTHER PARTIES,0,0,0,2,0
Anne Arundel,02,31A,001-016,REPUBLICAN,170,25,1,3,525
Anne Arundel,02,31A,001-016,UNAFFILIATED,0,0,0,13,0
Anne Arundel,02,31A,001-017,DEMOCRAT,158,37,3,8,642
Anne Arundel,02,31A,001-017,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-017,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,31A,001-017,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,31A,001-017,REPUBLICAN,103,18,0,6,349
Anne Arundel,02,31A,001-017,UNAFFILIATED,0,0,0,9,0
Anne Arundel,02,31A,001-018,DEMOCRAT,361,146,26,5,1526
Anne Arundel,02,31A,001-018,GREEN,0,0,0,0,0
Anne Arundel,02,31A,001-018,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,31A,001-018,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,31A,001-018,REPUBLICAN,156,61,9,3,602
Anne Arundel,02,31A,001-018,UNAFFILIATED,0,0,0,21,0
Anne Arundel,02,32,001-019,DEMOCRAT,348,137,18,34,1143
Anne Arundel,02,32,001-019,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-019,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-019,OTHER PARTIES,0,0,0,1,0
Anne Arundel,02,32,001-019,REPUBLICAN,127,48,5,7,495
Anne Arundel,02,32,001-019,UNAFFILIATED,0,0,0,21,0
Anne Arundel,02,32,001-020,DEMOCRAT,355,181,13,6,1232
Anne Arundel,02,32,001-020,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-020,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-020,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-020,REPUBLICAN,162,71,13,5,589
Anne Arundel,02,32,001-020,UNAFFILIATED,0,0,0,6,0
Anne Arundel,02,32,001-021,DEMOCRAT,305,105,11,8,1296
Anne Arundel,02,32,001-021,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-021,LIBERTARIAN,0,0,0,1,0
Anne Arundel,02,32,001-021,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-021,REPUBLICAN,59,14,7,2,267
Anne Arundel,02,32,001-021,UNAFFILIATED,0,0,0,15,0
Anne Arundel,02,32,001-022,DEMOCRAT,552,178,44,15,2161
Anne Arundel,02,32,001-022,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-022,LIBERTARIAN,0,0,0,2,0
Anne Arundel,02,32,001-022,OTHER PARTIES,0,0,0,1,0
Anne Arundel,02,32,001-022,REPUBLICAN,253,86,26,5,1060
Anne Arundel,02,32,001-022,UNAFFILIATED,0,0,0,25,0
Anne Arundel,02,32,001-023,DEMOCRAT,63,17,2,13,210
Anne Arundel,02,32,001-023,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-023,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-023,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-023,REPUBLICAN,30,5,7,6,119
Anne Arundel,02,32,001-023,UNAFFILIATED,0,0,0,9,0
Anne Arundel,02,32,001-024,DEMOCRAT,220,78,13,4,670
Anne Arundel,02,32,001-024,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-024,LIBERTARIAN,0,0,0,1,0
Anne Arundel,02,32,001-024,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-024,REPUBLICAN,100,32,3,1,337
Anne Arundel,02,32,001-024,UNAFFILIATED,0,0,0,11,0
Anne Arundel,02,32,001-025,DEMOCRAT,142,31,4,1,463
Anne Arundel,02,32,001-025,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-025,LIBERTARIAN,0,0,0,0,0
Anne Arundel,02,32,001-025,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-025,REPUBLICAN,153,23,5,0,426
Anne Arundel,02,32,001-025,UNAFFILIATED,0,0,0,9,0
Anne Arundel,02,32,001-026,DEMOCRAT,464,85,18,33,2228
Anne Arundel,02,32,001-026,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-026,LIBERTARIAN,0,0,0,1,0
Anne Arundel,02,32,001-026,OTHER PARTIES,0,0,0,0,0
Anne Arundel,02,32,001-026,REPUBLICAN,71,17,1,3,319
Anne Arundel,02,32,001-026,UNAFFILIATED,0,0,0,22,0
Anne Arundel,03,32,002-001,DEMOCRAT,174,79,8,8,659
Anne Arundel,03,32,002-001,GREEN,0,0,0,0,0
Anne Arundel,03,32,002-001,LIBERTARIAN,0,0,0,2,0
Anne Arundel,03,32,002-001,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,002-001,REPUBLICAN,197,48,11,2,605
Anne Arundel,03,32,002-001,UNAFFILIATED,0,0,0,8,0
Anne Arundel,04,32,002-002,DEMOCRAT,209,72,13,7,697
Anne Arundel,04,32,002-002,GREEN,0,0,0,0,0
Anne Arundel,04,32,002-002,LIBERTARIAN,0,0,0,0,0
Anne Arundel,04,32,002-002,OTHER PARTIES,0,0,0,0,0
Anne Arundel,04,32,002-002,REPUBLICAN,189,40,5,2,513
Anne Arundel,04,32,002-002,UNAFFILIATED,0,0,0,1,0
Anne Arundel,03,32,002-003,DEMOCRAT,240,59,12,5,749
Anne Arundel,03,32,002-003,GREEN,0,0,0,1,0
Anne Arundel,03,32,002-003,LIBERTARIAN,0,0,0,0,0
Anne Arundel,03,32,002-003,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,002-003,REPUBLICAN,227,35,2,8,610
Anne Arundel,03,32,002-003,UNAFFILIATED,0,0,0,13,0
Anne Arundel,03,32,002-004,DEMOCRAT,340,118,24,7,1101
Anne Arundel,03,32,002-004,GREEN,0,0,0,0,0
Anne Arundel,03,32,002-004,LIBERTARIAN,0,0,0,1,0
Anne Arundel,03,32,002-004,OTHER PARTIES,0,0,0,0,0
Anne Arundel,03,32,002-004,REPUBLICAN,230,99,11,2,798
